datetime,T,P0,P,U,VV,Td,PM2.5
2014-01-01 00:00:00,7.0,756.8,760.5,13,10.0,-20.0,53
2014-01-01 01:00:00,7.0,756.0,759.7,13,10.0,-20.0,65
2014-01-01 02:00:00,6.0,756.0,759.7,13,10.0,-20.0,70
2014-01-01 03:00:00,6.0,756.0,759.7,13,10.0,-20.0,79
2014-01-01 04:00:00,3.0,755.3,759.0,20,10.0,-18.0,92
2014-01-01 05:00:00,4.0,755.3,759.0,18,10.0,-18.0,106
2014-01-01 06:00:00,6.0,755.3,759.0,15,10.0,-19.0,75
2014-01-01 07:00:00,6.0,756.0,759.7,15,10.0,-19.0,58
2014-01-01 08:00:00,6.0,756.0,759.7,16,10.0,-18.0,33
2014-01-01 09:00:00,7.0,756.8,760.5,15,10.0,-18.0,51
2014-01-01 10:00:00,8.0,757.5,761.2,14,10.0,-18.0,32
2014-01-01 11:00:00,9.0,757.5,761.2,13,10.0,-18.0,23
2014-01-01 12:00:00,10.0,757.5,761.2,13,10.0,-17.0,28
2014-01-01 13:00:00,11.0,756.9,760.5,11,10.0,-18.0,23
2014-01-01 14:00:00,11.0,756.9,760.5,12,10.0,-17.0,24
2014-01-01 15:00:00,11.0,756.9,760.5,12,10.0,-17.0,26
2014-01-01 16:00:00,11.0,756.9,760.5,12,10.0,-17.0,26
2014-01-01 17:00:00,10.0,757.5,761.2,14,10.0,-16.0,27
2014-01-01 18:00:00,9.0,757.5,761.2,15,10.0,-16.0,43
2014-01-01 19:00:00,9.0,758.3,762.0,15,10.0,-16.0,62
2014-01-01 20:00:00,3.0,759.0,762.8,28,10.0,-14.0,70
2014-01-01 21:00:00,0.0,759.0,762.8,34,10.0,-14.0,81
2014-01-01 22:00:00,-1.0,759.7,763.5,43,10.0,-12.0,111
2014-01-01 23:00:00,0.0,760.5,764.3,40,8.0,-12.0,144
2014-01-02 00:00:00,-2.0,760.5,764.3,43,7.0,-13.0,170
2014-01-02 01:00:00,-4.0,760.4,764.3,54,7.0,-12.0,174
2014-01-02 02:00:00,-4.0,760.4,764.3,54,7.0,-12.0,174
2014-01-02 03:00:00,-4.0,760.4,764.3,54,7.0,-12.0,172
2014-01-02 04:00:00,-5.0,761.1,765.0,58,7.0,-12.0,149
2014-01-02 05:00:00,-2.0,761.2,765.0,55,7.0,-10.0,166
2014-01-02 06:00:00,-2.0,761.2,765.0,69,7.0,-7.0,187
2014-01-02 07:00:00,-5.0,761.1,765.0,74,8.0,-9.0,107
2014-01-02 08:00:00,-5.0,761.9,765.8,74,6.0,-9.0,114
2014-01-02 09:00:00,-2.0,762.0,765.8,69,5.0,-7.0,108
2014-01-02 10:00:00,2.0,762.0,765.8,52,7.0,-7.0,102
2014-01-02 11:00:00,4.0,761.2,765.0,42,9.0,-8.0,95
2014-01-02 12:00:00,5.0,760.6,764.3,39,10.0,-8.0,127
2014-01-02 13:00:00,7.0,759.1,762.8,31,8.0,-9.0,125
2014-01-02 14:00:00,7.0,758.3,762.0,31,8.0,-9.0,128
2014-01-02 15:00:00,7.0,758.3,762.0,29,6.0,-10.0,146
2014-01-02 16:00:00,6.0,758.3,762.0,31,6.0,-10.0,165
2014-01-02 17:00:00,4.0,758.3,762.0,39,6.0,-9.0,173
2014-01-02 18:00:00,3.0,758.2,762.0,45,6.0,-8.0,195
2014-01-02 19:00:00,1.0,758.2,762.0,48,6.0,-9.0,239
2014-01-02 20:00:00,0.0,759.0,762.8,55,5.0,-8.0,232
2014-01-02 21:00:00,0.0,759.0,762.8,55,4.0,-8.0,242
